languages	waseda-01	uzh-02	uzh-01	ua-08	ua-07	ua-06	ua-05	ua-04	ua-03	ua-02	ua-01	tuebingen-oslo-03	tuebingen-oslo-02	tuebingen-oslo-01	racai-01	msu-04	msu-03	msu-02	msu-01	kucst-01	iitbhu-iiith-02	iitbhu-iiith-01	iit-varanasi-01	hamburg-01	bme-03	bme-02	bme-01	baseline	axsemantics-02	axsemantics-01
german	52	62	62.4	55	41.5	55	59.3	11.4	67.1	53.2	49.2	0	0	0	0	39.4	37.9	50.4	0	0	57	53.5	19.9	44.7	0	0	0	49.2	18.7	0
kannada	36	60	61	38	34	37	57	27	31	56	33	0	0	0	0	14	24	37	0	0	57	55	29	37	6	0	6	33	0	0
middle-low-german	18	50	54	24	24	30	34	0	34	14	18	8	10	0	0	26	20	16	0	0	42	36	14	36	6	12	10	18	6	0
north-frisian	36	42	40	31	29	20	31	27	27	15	29	1	1	0	0	17	13	29	0	0	45	38	18	34	4	4	4	31	12	0
old-english	17.6	24.1	24.7	46.5	15.3	46.4	29	6.7	29	12.6	17.6	0	0.6	0	0	12.6	10.7	12.1	0	0	23.1	20.7	8.6	13.7	0	0	0	17.6	3.6	0
polish	42	45.3	44.6	49.1	16.9	49.4	44.6	2.4	43.6	32.9	40.4	0	0	0	0	19.5	11.3	40.2	0	0	32.5	29	4.7	23.1	0	0	0	40.4	0	0
russian	47	53.2	53.5	49.9	16.5	50.2	47.4	0	44.6	37	43.4	0	0	0	0	17.5	8.9	45.2	0	0	42.1	39.2	7.5	25.1	0	0	0	43.4	0	0
average	44.08737864	57.21359223	57.18058252	53.21553398	37.98543689	49.73398058	50.53398058	21.25048544	44.82038835	39.18737864	38.2184466	1.388349515	4.42815534	0	0	31.3961165	25.85533981	41.61262136	0	2.516504854	52.5961165	49.79126214	23.33009709	40.28252427	3.634951456	2.429126214	3.742718447	38.19805825	14.7407767	0.6990291262
																														
																														a
